class,class_index,point,start_frame,stop_frame,video_id
"['top', 'wash']","['42', '2']",12237,12228,12392,P01_02
"['top', 'wash']","['42', '2']",12404,12395,12474,P01_02
"['sink', 'wash']","['63', '2']",12463,12405,12537,P01_02
"['fork', 'take']","['14', '0']",1066,1039,1071,P01_02
"['tap', 'turn-on']","['0', '6']",12533,12530,12586,P01_02
"['tap', 'turn-off']","['0', '8']",12753,12735,12775,P01_02
"['cloth', 'squeeze']","['17', '18']",12783,12778,12828,P01_02
"['sink', 'wash']","['63', '2']",12854,12832,12921,P01_02
"['sink', 'wash']","['63', '2']",13016,12914,13223,P01_02
"['cloth', 'squeeze']","['17', '18']",13248,13233,13348,P01_02
"['cloth', 'put']","['17', '1']",13352,13344,13379,P01_02
"['cloth', 'take']","['17', '0']",13382,13379,13420,P01_02
"['hand', 'dry']","['11', '14']",13412,13407,13527,P01_02
"['fork', 'wash']","['14', '2']",1096,1065,1237,P01_02
"['mat', 'take']","['84', '0']",13697,13661,13864,P01_02
"['drawer', 'open']","['8', '3']",13941,13914,13974,P01_02
"['lid', 'close']","['6', '4']",14068,14054,14130,P01_02
"['knife', 'take']","['4', '0']",1258,1253,1279,P01_02
"['water', 'pour']","['27', '9']",14677,14670,14793,P01_02
"['water', 'drink']","['27', '60']",14845,14814,14978,P01_02
"['bottle', 'close']","['15', '4']",14875,14840,14915,P01_02
"['knife', 'wash']","['4', '2']",1288,1281,1483,P01_02
"['plate', 'wash']","['2', '2']",1538,1527,1816,P01_02
"['tap', 'turn-on']","['0', '6']",2006,1998,2029,P01_02
"['spatula', 'wash']","['20', '2']",2036,2021,2081,P01_02
"['spatula', 'wash']","['20', '2']",2369,2285,2437,P01_02
"['spatula', 'put']","['20', '1']",2412,2404,2460,P01_02
"['colander', 'take']","['39', '0']",2467,2463,2488,P01_02
"['colander', 'wash']","['39', '2']",2498,2487,2650,P01_02
"['colander', 'put']","['39', '1']",2653,2642,2692,P01_02
"['bin', 'close']","['36', '4']",554,551,574,P01_02
"['pan', 'wash']","['5', '2']",2758,2744,2872,P01_02
"['pan', 'wash']","['5', '2']",2926,2871,3036,P01_02
"['pan', 'wash']","['5', '2']",3151,3039,3252,P01_02
"['colander', 'take']","['39', '0']",3299,3275,3339,P01_02
"['colander', 'put']","['39', '1']",3331,3323,3368,P01_02
"['pan', 'empty']","['5', '20']",3430,3401,3479,P01_02
"['pan', 'wash']","['5', '2']",3529,3501,3718,P01_02
"['pan', 'wash']","['5', '2']",3793,3754,3941,P01_02
"['pan', 'wash']","['5', '2']",4076,3944,4090,P01_02
"['pan', 'put']","['5', '1']",4133,4090,4138,P01_02
"['board:chopping', 'take']","['18', '0']",4177,4156,4216,P01_02
"['board:chopping', 'wash']","['18', '2']",4228,4226,4399,P01_02
"['board:chopping', 'wash']","['18', '2']",4496,4432,4567,P01_02
"['grater', 'wash']","['96', '2']",4850,4670,4908,P01_02
"['sponge', 'put']","['9', '1']",4903,4902,4919,P01_02
"['sponge', 'take']","['9', '0']",731,721,758,P01_02
"['grater', 'put']","['96', '1']",4968,4945,5002,P01_02
"['sponge', 'take']","['9', '0']",5126,5125,5144,P01_02
"['spoon', 'wash']","['1', '2']",5156,5146,5206,P01_02
"['sponge', 'put']","['9', '1']",5208,5189,5211,P01_02
"['tap', 'turn-on']","['0', '6']",5238,5212,5265,P01_02
"['hand', 'wash']","['11', '2']",5271,5261,5294,P01_02
"['spoon', 'wash']","['1', '2']",5318,5297,5392,P01_02
"['grater', 'wash']","['96', '2']",5460,5444,5661,P01_02
"['grater', 'wash']","['96', '2']",5821,5664,5972,P01_02
"['sponge', 'squeeze']","['9', '18']",761,736,776,P01_02
"['colander', 'wash']","['39', '2']",6294,6245,6508,P01_02
"['tap', 'turn-on']","['0', '6']",793,788,819,P01_02
"['pan', 'wash']","['5', '2']",7191,7171,7386,P01_02
"['pan', 'empty']","['5', '20']",7492,7478,7602,P01_02
"['pan', 'wash']","['5', '2']",7624,7620,7890,P01_02
"['top', 'adjust']","['42', '17']",7706,7702,7748,P01_02
"['pan', 'wash']","['5', '2']",8081,7875,8127,P01_02
"['pan', 'wash']","['5', '2']",8119,8118,8355,P01_02
"['sponge', 'wash']","['9', '2']",828,803,878,P01_02
"['pan', 'wash']","['5', '2']",8551,8376,8661,P01_02
"['fork', 'wash']","['14', '2']",8919,8890,8988,P01_02
"['liquid:washing', 'take']","['22', '0']",879,861,905,P01_02
"['plate', 'wash']","['2', '2']",9169,9167,9248,P01_02
"['board:chopping', 'take']","['18', '0']",9290,9278,9301,P01_02
"['board:chopping', 'wash']","['18', '2']",9325,9302,9575,P01_02
"['sponge', 'squeeze']","['9', '18']",9965,9834,10013,P01_02
"['cupboard', 'open']","['3', '3']",19,8,63,P01_03
"['cupboard', 'close']","['3', '4']",106,98,176,P01_03
"['milk', 'put']","['64', '1']",760,748,776,P01_03
"['cloth', 'take']","['17', '0']",841,821,869,P01_03
"['bottle', 'move']","['15', '11']",950,914,1002,P01_03
"['glass', 'move']","['10', '11']",993,989,1034,P01_03
"['cloth', 'unroll']","['17', '39']",1092,1072,1171,P01_03
"['cloth', 'pull']","['17', '31']",1146,1143,1273,P01_03
"['cupboard', 'open']","['3', '3']",1387,1370,1431,P01_03
"['cup', 'take']","['13', '0']",1445,1441,1478,P01_03
"['milk', 'take']","['64', '0']",1564,1551,1589,P01_03
"['milk', 'shake']","['64', '15']",1628,1592,1672,P01_03
"['milk', 'open']","['64', '3']",1692,1670,1729,P01_03
"['milk', 'pour']","['64', '9']",1756,1736,1943,P01_03
"['milk', 'close']","['64', '4']",1946,1946,1994,P01_03
"['fridge', 'open']","['12', '3']",2115,2088,2135,P01_03
"['milk', 'put']","['64', '1']",2145,2138,2163,P01_03
"['fridge', 'close']","['12', '4']",2180,2164,2204,P01_03
"['drawer', 'open']","['8', '3']",2294,2289,2312,P01_03
"['drawer', 'close']","['8', '4']",2384,2384,2414,P01_03
"['cereal', 'take']","['99', '0']",2590,2557,2622,P01_03
"['cupboard', 'close']","['3', '4']",2635,2632,2684,P01_03
"['bag', 'open']","['19', '3']",2853,2850,2918,P01_03
"['bag', 'remove']","['19', '12']",2934,2928,2961,P01_03
"['bag', 'unroll']","['19', '39']",3044,3003,3073,P01_03
"['cereal', 'pour']","['99', '9']",3133,3115,3266,P01_03
"['cereal', 'pour']","['99', '9']",3303,3230,3381,P01_03
"['fridge', 'close']","['12', '4']",625,590,676,P01_03
"['cup', 'take']","['13', '0']",24,3,91,P01_04
"['cup', 'put']","['13', '1']",105,86,153,P01_04
"['cloth', 'fold']","['17', '28']",952,923,1051,P01_04
"['cloth', 'pull']","['17', '31']",1121,1120,1164,P01_04
"['liquid:washing', 'take']","['22', '0']",1256,1241,1264,P01_04
"['liquid:washing', 'pour']","['22', '9']",1294,1265,1334,P01_04
"['tap', 'turn-on']","['0', '6']",1403,1358,1404,P01_04
"['cup', 'wash']","['13', '2']",1470,1407,1572,P01_04
"['spoon', 'wash']","['1', '2']",1614,1575,1685,P01_04
"['cup', 'wash']","['13', '2']",1740,1720,1880,P01_04
"['tap', 'turn']","['0', '23']",1884,1869,1890,P01_04
"['cup', 'pull']","['13', '31']",1970,1905,2016,P01_04
"['bag', 'take']","['19', '0']",186,185,203,P01_04
"['sink', 'wash']","['63', '2']",2104,2060,2139,P01_04
"['tap', 'turn-off']","['0', '8']",2151,2142,2162,P01_04
"['hand', 'dry']","['11', '14']",2258,2231,2383,P01_04
"['bottle', 'take']","['15', '0']",2433,2394,2461,P01_04
"['bottle', 'open']","['15', '3']",2486,2464,2554,P01_04
"['glass', 'take']","['10', '0']",2579,2561,2584,P01_04
"['water', 'pour']","['27', '9']",2609,2590,2718,P01_04
"['water', 'drink']","['27', '60']",2743,2732,2958,P01_04
"['bag', 'fold']","['19', '28']",237,218,308,P01_04
"['glass', 'put']","['10', '1']",3003,2969,3018,P01_04
"['container', 'take']","['21', '0']",3033,3015,3060,P01_04
"['box', 'close']","['23', '4']",442,426,516,P01_04
"['cupboard', 'open']","['3', '3']",577,567,605,P01_04
"['box', 'put']","['23', '1']",607,590,681,P01_04
"['cupboard', 'close']","['3', '4']",704,683,728,P01_04
"['cloth', 'take']","['17', '0']",780,772,920,P01_04
"['fridge', 'open']","['12', '3']",141,124,178,P01_05
"['mushroom', 'take']","['56', '0']",208,195,242,P01_05
"['cup', 'insert']","['13', '5']",953,923,1005,P01_05
"['hob', 'turn-on']","['24', '6']",10062,10045,10131,P01_05
"['cupboard', 'open']","['3', '3']",10154,10135,10213,P01_05
"['cupboard', 'close']","['3', '4']",10376,10315,10395,P01_05
"['pan', 'put']","['5', '1']",10451,10424,10490,P01_05
"['kettle', 'take']","['44', '0']",11258,11234,11340,P01_05
"['water', 'pour']","['27', '9']",11645,11528,11722,P01_05
"['kettle', 'put']","['44', '1']",11794,11709,11827,P01_05
"['salt', 'take']","['38', '0']",11909,11900,12222,P01_05
"['plate', 'take']","['2', '0']",1075,1044,1107,P01_05
"['salt', 'pour']","['38', '9']",12155,12149,12255,P01_05
"['salt', 'pour']","['38', '9']",12257,12257,12310,P01_05
"['salt', 'put']","['38', '1']",12399,12389,12425,P01_05
"['spoon', 'put']","['1', '1']",12429,12415,12436,P01_05
"['board:chopping', 'take']","['18', '0']",12492,12446,12516,P01_05
"['plate', 'take']","['2', '0']",1147,1109,1199,P01_05
"['board:chopping', 'put']","['18', '1']",12781,12771,12834,P01_05
"['sausage', 'throw']","['86', '13']",12982,12971,13050,P01_05
"['box', 'open']","['23', '3']",13331,13211,13657,P01_05
"['hand', 'dry']","['11', '14']",13957,13950,14032,P01_05
"['board:chopping', 'take']","['18', '0']",14155,14118,14176,P01_05
"['cupboard', 'close']","['3', '4']",14185,14171,14228,P01_05
"['plate', 'put']","['2', '1']",1211,1209,1247,P01_05
"['bottle', 'move']","['15', '11']",14271,14270,14305,P01_05
"['glass', 'move']","['10', '11']",14342,14326,14349,P01_05
"['knife', 'take']","['4', '0']",14504,14495,14537,P01_05
"['bread', 'take']","['33', '0']",14579,14563,14600,P01_05
"['bread', 'cut']","['33', '7']",14779,14766,14931,P01_05
"['bread', 'cut']","['33', '7']",14988,14947,15104,P01_05
"['plate', 'insert']","['2', '5']",1273,1265,1340,P01_05
"['bread', 'insert']","['33', '5']",15381,15361,15436,P01_05
"['cloth', 'unroll']","['17', '39']",15922,15886,15958,P01_05
"['knife', 'put']","['4', '1']",16216,16155,16230,P01_05
"['fork', 'take']","['14', '0']",16345,16337,16382,P01_05
"['fork', 'put']","['14', '1']",16428,16421,16480,P01_05
"['bottle', 'take']","['15', '0']",16890,16866,16901,P01_05
"['bottle', 'open']","['15', '3']",16965,16938,17011,P01_05
"['water', 'pour']","['27', '9']",17086,17070,17469,P01_05
"['box', 'take']","['23', '0']",18964,18893,19034,P01_05
"['box', 'open']","['23', '3']",19135,19095,19329,P01_05
"['bin', 'close']","['36', '4']",19518,19516,19553,P01_05
"['fruit', 'wash']","['254', '2']",20147,19762,20480,P01_05
"['pan', 'move']","['5', '11']",1541,1527,1562,P01_05
"['hob', 'adjust']","['24', '17']",20754,20753,20772,P01_05
"['sausage', 'take']","['86', '0']",20861,20851,20902,P01_05
"['box', 'throw']","['23', '13']",21537,21505,21573,P01_05
"['pan', 'insert']","['5', '5']",1646,1632,1670,P01_05
"['clothes', 'take']","['73', '0']",22242,22194,22333,P01_05
"['tongs', 'take']","['142', '0']",23502,23450,23524,P01_05
"['tongs', 'put']","['142', '1']",23650,23643,23677,P01_05
"['spoon', 'mix']","['1', '10']",23755,23739,23969,P01_05
"['hob', 'adjust']","['24', '17']",24216,24208,24264,P01_05
"['pan', 'take']","['5', '0']",1764,1689,1800,P01_05
"['hob', 'adjust']","['24', '17']",27304,27302,27352,P01_05
"['drawer', 'open']","['8', '3']",28473,28462,28570,P01_05
"['lighter', 'take']","['130', '0']",28651,28571,28660,P01_05
"['candle', 'turn-on']","['280', '6']",28770,28736,29017,P01_05
"['candle', 'put']","['280', '1']",29048,29047,29118,P01_05
"['container', 'move']","['21', '11']",241,241,261,P01_05
"['sausage', 'flip']","['86', '22']",29368,29345,29418,P01_05
"['sausage', 'flip']","['86', '22']",29586,29575,29687,P01_05
"['bowl', 'take']","['7', '0']",1967,1936,2053,P01_05
"['sausage', 'flip']","['86', '22']",31063,31029,31079,P01_05
"['sausage', 'flip']","['86', '22']",31209,31186,31229,P01_05
"['potato', 'check']","['30', '24']",32603,32526,32606,P01_05
"['hob', 'adjust']","['24', '17']",32724,32675,32744,P01_05
"['sausage', 'turn']","['86', '23']",33907,33810,33908,P01_05
"['hob', 'adjust']","['24', '17']",34474,34469,34502,P01_05
"['colander', 'take']","['39', '0']",2343,2321,2387,P01_05
"['hob', 'turn-off']","['24', '8']",34984,34975,35032,P01_05
"['pan', 'take']","['5', '0']",35029,35025,35062,P01_05
"['colander', 'take']","['39', '0']",35104,35100,35156,P01_05
"['lid', 'take']","['6', '0']",2416,2389,2438,P01_05
"['sausage', 'put']","['86', '1']",35989,35948,36349,P01_05
"['pan', 'wash']","['5', '2']",36538,36399,36590,P01_05
"['pan', 'put']","['5', '1']",36414,36400,36444,P01_05
"['oil', 'open']","['31', '3']",36899,36845,36927,P01_05
"['oil', 'pour']","['31', '9']",36929,36929,37132,P01_05
"['glass', 'take']","['10', '0']",2457,2441,2483,P01_05
"['oil', 'close']","['31', '4']",37130,37127,37265,P01_05
"['rosemary', 'open']","['277', '3']",37391,37355,37417,P01_05
"['rosemary', 'sprinkle']","['277', '42']",37460,37455,37676,P01_05
"['knife', 'take']","['4', '0']",37881,37876,37912,P01_05
"['food', 'mix']","['34', '10']",37935,37912,38070,P01_05
"['glass', 'insert']","['10', '5']",2510,2497,2540,P01_05
"['ladle', 'take']","['97', '0']",2625,2576,2627,P01_05
"['cloth', 'take']","['17', '0']",2821,2797,2834,P01_05
"['ladle', 'dry']","['97', '14']",2851,2836,3140,P01_05
"['sausage', 'take']","['86', '0']",324,262,427,P01_05
"['ladle', 'dry']","['97', '14']",3008,2837,3146,P01_05
"['drawer', 'open']","['8', '3']",3150,3143,3179,P01_05
"['cutlery', 'take']","['58', '0']",3498,3451,3543,P01_05
"['cloth', 'put']","['17', '1']",3641,3608,3645,P01_05
"['mushroom', 'insert']","['56', '5']",436,425,487,P01_05
"['spatula', 'insert']","['20', '5']",3673,3656,3678,P01_05
"['cutlery', 'put']","['58', '1']",3762,3688,3791,P01_05
"['drawer', 'open']","['8', '3']",3806,3794,3835,P01_05
"['drawer', 'close']","['8', '4']",4223,4194,4254,P01_05
"['cupboard', 'close']","['3', '4']",4291,4265,4315,P01_05
"['cupboard', 'open']","['3', '3']",4404,4397,4453,P01_05
"['fridge', 'close']","['12', '4']",534,490,596,P01_05
"['potato', 'take']","['30', '0']",4492,4448,4510,P01_05
"['lid', 'insert']","['6', '5']",4630,4576,4708,P01_05
"['cupboard', 'close']","['3', '4']",4708,4706,4749,P01_05
"['kettle', 'take']","['44', '0']",4951,4947,4978,P01_05
"['kettle', 'open']","['44', '3']",4999,4993,5015,P01_05
"['water', 'pour']","['27', '9']",5135,5065,5417,P01_05
"['kettle', 'close']","['44', '4']",5440,5411,5450,P01_05
"['sausage', 'put']","['86', '1']",683,670,729,P01_05
"['kettle', 'put']","['44', '1']",5515,5469,5527,P01_05
"['kettle', 'turn-on']","['44', '6']",5545,5525,5556,P01_05
"['spoon', 'put']","['1', '1']",5751,5737,5765,P01_05
"['drawer', 'close']","['8', '4']",5781,5747,5788,P01_05
"['cloth', 'take']","['17', '0']",5815,5783,5839,P01_05
"['board:chopping', 'take']","['18', '0']",801,765,836,P01_05
"['knife', 'take']","['4', '0']",5931,5930,5976,P01_05
"['knife', 'move']","['4', '11']",6044,6041,6063,P01_05
"['potato', 'peel']","['30', '19']",6117,6083,6692,P01_05
"['potato', 'peel']","['30', '19']",7625,7296,7939,P01_05
"['potato', 'put']","['30', '1']",8015,7942,8051,P01_05
"['board:chopping', 'put']","['18', '1']",855,826,879,P01_05
"['potato', 'cut']","['30', '7']",8355,8017,8667,P01_05
"['potato', 'cut']","['30', '7']",8045,8036,8304,P01_05
"['drawer', 'open']","['8', '3']",8721,8705,8741,P01_05
"['knife', 'insert']","['4', '5']",8751,8736,8759,P01_05
"['drawer', 'close']","['8', '4']",8781,8761,8792,P01_05
"['pan', 'take']","['5', '0']",8826,8815,8839,P01_05
"['pan', 'put']","['5', '1']",8855,8846,8883,P01_05
"['hand', 'dry']","['11', '14']",8940,8889,8978,P01_05
"['cupboard', 'open']","['3', '3']",901,901,933,P01_05
"['cloth', 'take']","['17', '0']",8910,8906,8943,P01_05
"['board:chopping', 'move']","['18', '11']",9003,8981,9026,P01_05
"['skin', 'take']","['48', '0']",9066,9058,9242,P01_05
"['cloth', 'take']","['17', '0']",9429,9396,9432,P01_05
"['hand', 'dry']","['11', '14']",9458,9434,9476,P01_05
"['bin', 'close']","['36', '4']",9815,9806,9841,P01_05
"['hand', 'dry']","['11', '14']",9936,9887,10055,P01_05
"['plate', 'take']","['2', '0']",18,17,46,P01_06
"['knife', 'put']","['4', '1']",87,66,98,P01_06
"['fruit', 'take']","['254', '0']",880,861,921,P01_06
"['sink', 'wash']","['63', '2']",11444,11433,11655,P01_06
"['sink', 'wash']","['63', '2']",11715,11683,11733,P01_06
"['cloth', 'squeeze']","['17', '18']",11759,11736,11796,P01_06
"['sink', 'wash']","['63', '2']",11811,11799,11997,P01_06
"['sink', 'wash']","['63', '2']",12112,12000,12196,P01_06
"['tap', 'turn-off']","['0', '8']",12237,12213,12253,P01_06
"['cloth', 'wash']","['17', '2']",12312,12256,12330,P01_06
"['tap', 'turn-off']","['0', '8']",12343,12319,12366,P01_06
"['oven', 'wash']","['46', '2']",12469,12442,13242,P01_06
"['oven', 'wash']","['46', '2']",12953,12660,13298,P01_06
"['top', 'wash']","['42', '2']",13340,13299,13355,P01_06
"['tap', 'turn-on']","['0', '6']",13375,13371,13404,P01_06
"['sink', 'wash']","['63', '2']",13735,13463,14078,P01_06
"['cloth', 'squeeze']","['17', '18']",14106,14087,14196,P01_06
"['cloth', 'hang']","['17', '41']",14536,14426,14577,P01_06
"['cloth', 'shake']","['17', '15']",1133,1120,1203,P01_06
"['cloth', 'put']","['17', '1']",1538,1507,1561,P01_06
"['sponge', 'take']","['9', '0']",1663,1662,1687,P01_06
"['liquid:washing', 'pour']","['22', '9']",1725,1714,1778,P01_06
"['liquid:washing', 'put']","['22', '1']",1792,1784,1833,P01_06
"['fork', 'take']","['14', '0']",1841,1827,1863,P01_06
"['bin', 'open']","['36', '3']",182,172,213,P01_06
"['tap', 'turn-on']","['0', '6']",1914,1860,1935,P01_06
"['fork', 'wash']","['14', '2']",1971,1934,2078,P01_06
"['fork', 'put']","['14', '1']",2095,2073,2104,P01_06
"['spoon', 'wash']","['1', '2']",2155,2125,2194,P01_06
"['knife', 'take']","['4', '0']",2233,2215,2252,P01_06
"['knife', 'wash']","['4', '2']",2263,2253,2429,P01_06
"['board:chopping', 'take']","['18', '0']",2459,2459,2483,P01_06
"['food', 'throw']","['34', '13']",224,217,356,P01_06
"['board:chopping', 'wash']","['18', '2']",2505,2500,2727,P01_06
"['board:chopping', 'put']","['18', '1']",2770,2753,2825,P01_06
"['tongs', 'wash']","['142', '2']",2854,2847,3223,P01_06
"['knife', 'put']","['4', '1']",3485,3485,3518,P01_06
"['glass', 'take']","['10', '0']",3553,3542,3565,P01_06
"['glass', 'wash']","['10', '2']",3659,3567,3659,P01_06
"['glass', 'put']","['10', '1']",3689,3666,3699,P01_06
"['plate', 'take']","['2', '0']",3719,3700,3740,P01_06
"['plate', 'wash']","['2', '2']",3859,3824,4142,P01_06
"['plate', 'wash']","['2', '2']",4174,4155,4227,P01_06
"['pan', 'take']","['5', '0']",4359,4298,4376,P01_06
"['pan', 'wash']","['5', '2']",4414,4343,4425,P01_06
"['plate', 'put']","['2', '1']",469,433,507,P01_06
"['pan', 'put']","['5', '1']",4444,4420,4466,P01_06
"['pan', 'wash']","['5', '2']",4474,4459,4621,P01_06
"['pan', 'wash']","['5', '2']",4736,4607,4790,P01_06
"['colander', 'take']","['39', '0']",4810,4809,4848,P01_06
"['colander', 'wash']","['39', '2']",4897,4851,5126,P01_06
"['colander', 'put']","['39', '1']",5135,5129,5168,P01_06
"['pan', 'take']","['5', '0']",5173,5155,5250,P01_06
"['pan', 'wash']","['5', '2']",5302,5243,5795,P01_06
"['board:chopping', 'take']","['18', '0']",573,530,601,P01_06
"['pan', 'put']","['5', '1']",5803,5797,5828,P01_06
"['board:chopping', 'wash']","['18', '2']",6039,5920,6202,P01_06
"['sponge', 'put']","['9', '1']",6213,6205,6220,P01_06
"['tap', 'turn-on']","['0', '6']",6424,6406,6438,P01_06
"['glass', 'take']","['10', '0']",7397,7334,7445,P01_06
"['board:chopping', 'move']","['18', '11']",811,577,827,P01_06
"['glass', 'wash']","['10', '2']",7427,7424,7583,P01_06
"['pan', 'wash']","['5', '2']",7712,7626,8060,P01_06
"['colander', 'wash']","['39', '2']",8137,8103,8565,P01_06
"['pan', 'put']","['5', '1']",8922,8900,9014,P01_06
"['plate', 'wash']","['2', '2']",9062,8997,9259,P01_06
"['plate', 'put']","['2', '1']",9262,9257,9347,P01_06
"['board:chopping', 'wash']","['18', '2']",9424,9350,9597,P01_06
"['board:chopping', 'put']","['18', '1']",9604,9595,9651,P01_06
"['knife', 'wash']","['4', '2']",9682,9654,9808,P01_06
"['tongs', 'wash']","['142', '2']",9943,9842,10011,P01_06
"['rack:drying', 'put']","['110', '1']",10022,10013,10054,P01_06
"['knife', 'wash']","['4', '2']",10052,10046,10167,P01_06
"['knife', 'put']","['4', '1']",10171,10159,10200,P01_06
"['fork', 'wash']","['14', '2']",10214,10191,10235,P01_06
"['glass', 'put']","['10', '1']",678,660,703,P01_06
"['fork', 'put']","['14', '1']",10250,10242,10267,P01_06
"['sponge', 'take']","['9', '0']",10339,10322,10350,P01_06
"['sponge', 'squeeze']","['9', '18']",10369,10352,10568,P01_06
"['sponge', 'squeeze']","['9', '18']",10685,10412,10800,P01_06
"['sponge', 'put']","['9', '1']",10900,10890,10912,P01_06
"['cloth', 'wash']","['17', '2']",10934,10916,10965,P01_06
"['top', 'wash']","['42', '2']",11133,11098,11430,P01_06
"['cloth', 'unroll']","['17', '39']",999,973,1030,P01_07
"['cloth', 'put']","['17', '1']",1099,1026,1131,P01_07
"['spoon', 'put']","['1', '1']",1301,1277,1306,P01_07
"['board:chopping', 'take']","['18', '0']",1430,1380,1478,P01_07
"['cupboard', 'open']","['3', '3']",1516,1476,1518,P01_07
"['board:chopping', 'insert']","['18', '5']",1556,1486,1679,P01_07
"['plate', 'take']","['2', '0']",1764,1724,1764,P01_07
"['cupboard', 'close']","['3', '4']",135,101,147,P01_07
"['plate', 'insert']","['2', '5']",1881,1819,1894,P01_07
"['pan', 'take']","['5', '0']",2131,2084,2131,P01_07
"['cupboard', 'open']","['3', '3']",2178,2150,2250,P01_07
"['pan', 'insert']","['5', '5']",2306,2263,2308,P01_07
"['pan', 'insert']","['5', '5']",2359,2327,2427,P01_07
"['bin', 'throw']","['36', '13']",302,263,316,P01_07
"['cupboard', 'close']","['3', '4']",2465,2430,2510,P01_07
"['colander', 'insert']","['39', '5']",2605,2567,2668,P01_07
"['cupboard', 'open']","['3', '3']",2813,2773,2813,P01_07
"['glass', 'insert']","['10', '5']",2843,2822,2903,P01_07
"['fridge', 'open']","['12', '3']",3100,3069,3116,P01_07
"['milk', 'take']","['64', '0']",3135,3104,3139,P01_07
"['fridge', 'close']","['12', '4']",3173,3144,3181,P01_07
"['milk', 'shake']","['64', '15']",3268,3211,3320,P01_07
"['milk', 'open']","['64', '3']",3371,3318,3374,P01_07
