class,class_index,start_frame,stop_frame,video_id,point
Diving,7,1320,1506,video_validation_0000167,1512
CliffDiving,4,1926,2202,video_validation_0000167,2090
Diving,7,1926,2202,video_validation_0000167,1931
CliffDiving,4,2562,2631,video_validation_0000167,2607
Diving,7,2562,2631,video_validation_0000167,2611
CliffDiving,4,2670,2727,video_validation_0000167,2662
Diving,7,2670,2727,video_validation_0000167,2711
CliffDiving,4,2754,2826,video_validation_0000167,2817
Diving,7,2754,2826,video_validation_0000167,2839
CliffDiving,4,3159,3258,video_validation_0000167,3130
Diving,7,3159,3258,video_validation_0000167,3251
CliffDiving,4,3279,3342,video_validation_0000167,3298
Diving,7,3279,3342,video_validation_0000167,3307
CliffDiving,4,4098,4257,video_validation_0000167,4118
Diving,7,4098,4257,video_validation_0000167,4090
CliffDiving,4,4260,4440,video_validation_0000167,4240
Diving,7,4260,4440,video_validation_0000167,4271
CliffDiving,4,4452,4515,video_validation_0000167,4509
Diving,7,4452,4515,video_validation_0000167,4537
CliffDiving,4,4590,4662,video_validation_0000167,4583
Diving,7,4590,4662,video_validation_0000167,4662
CliffDiving,4,4746,4812,video_validation_0000167,4782
Diving,7,4746,4812,video_validation_0000167,4811
CliffDiving,4,4830,4896,video_validation_0000167,4829
Diving,7,4830,4896,video_validation_0000167,4911
CliffDiving,4,4929,4986,video_validation_0000167,4934
Diving,7,4929,4986,video_validation_0000167,4919
CliffDiving,4,5019,5076,video_validation_0000167,5035
Diving,7,5019,5076,video_validation_0000167,5058
CliffDiving,4,5085,5154,video_validation_0000167,5106
Diving,7,5085,5154,video_validation_0000167,5119
CliffDiving,4,5175,5364,video_validation_0000167,5234
Diving,7,5175,5364,video_validation_0000167,5266
CliffDiving,4,5487,5580,video_validation_0000167,5458
Diving,7,5487,5580,video_validation_0000167,5561
CliffDiving,4,5592,5673,video_validation_0000167,5586
Diving,7,5592,5673,video_validation_0000167,5641
CliffDiving,4,5679,5742,video_validation_0000167,5678
Diving,7,5679,5742,video_validation_0000167,5715
CliffDiving,4,423,528,video_validation_0000168,468
Diving,7,423,528,video_validation_0000168,543
CliffDiving,4,615,711,video_validation_0000168,689
Diving,7,615,711,video_validation_0000168,703
CliffDiving,4,780,843,video_validation_0000168,785
Diving,7,780,843,video_validation_0000168,827
CliffDiving,4,924,1017,video_validation_0000168,896
Diving,7,924,1017,video_validation_0000168,920
CliffDiving,4,1260,1329,video_validation_0000168,1264
Diving,7,1260,1329,video_validation_0000168,1350
CliffDiving,4,1494,1587,video_validation_0000168,1489
Diving,7,1494,1587,video_validation_0000168,1573
CliffDiving,4,1662,1740,video_validation_0000168,1685
Diving,7,1662,1740,video_validation_0000168,1695
CliffDiving,4,1860,1962,video_validation_0000168,1963
Diving,7,1860,1962,video_validation_0000168,1906
CliffDiving,4,2046,2112,video_validation_0000168,2110
Diving,7,2046,2112,video_validation_0000168,2126
CliffDiving,4,2358,2460,video_validation_0000168,2327
Diving,7,2358,2460,video_validation_0000168,2459
CliffDiving,4,2607,2709,video_validation_0000168,2623
Diving,7,2607,2709,video_validation_0000168,2634
CliffDiving,4,2937,3042,video_validation_0000168,3062
Diving,7,2937,3042,video_validation_0000168,2965
CliffDiving,4,3105,3180,video_validation_0000168,3191
Diving,7,3105,3180,video_validation_0000168,3194
CliffDiving,4,3321,3390,video_validation_0000168,3332
Diving,7,3321,3390,video_validation_0000168,3392
CliffDiving,4,3600,3891,video_validation_0000168,3643
Diving,7,3600,3891,video_validation_0000168,3875
CliffDiving,4,4002,4080,video_validation_0000168,4003
Diving,7,4002,4080,video_validation_0000168,4057
CliffDiving,4,54,159,video_validation_0000169,40
Diving,7,54,159,video_validation_0000169,85
CliffDiving,4,180,213,video_validation_0000169,207
Diving,7,180,213,video_validation_0000169,214
CliffDiving,4,363,420,video_validation_0000169,436
Diving,7,363,420,video_validation_0000169,448
CliffDiving,4,510,546,video_validation_0000169,510
Diving,7,510,546,video_validation_0000169,527
CliffDiving,4,792,837,video_validation_0000169,801
Diving,7,792,837,video_validation_0000169,847
CliffDiving,4,867,918,video_validation_0000169,933
Diving,7,867,918,video_validation_0000169,927
CliffDiving,4,966,1005,video_validation_0000169,978
Diving,7,966,1005,video_validation_0000169,989
CliffDiving,4,1011,1065,video_validation_0000169,1006
Diving,7,1011,1065,video_validation_0000169,1065
CliffDiving,4,1071,1128,video_validation_0000169,1151
Diving,7,1071,1128,video_validation_0000169,1153
CliffDiving,4,1152,1200,video_validation_0000169,1156
Diving,7,1152,1200,video_validation_0000169,1213
CliffDiving,4,1362,1386,video_validation_0000169,1368
Diving,7,1362,1386,video_validation_0000169,1397
CliffDiving,4,1410,1500,video_validation_0000169,1416
Diving,7,1410,1500,video_validation_0000169,1441
CliffDiving,4,1503,1539,video_validation_0000169,1545
Diving,7,1503,1539,video_validation_0000169,1499
CliffDiving,4,1593,1800,video_validation_0000169,1691
Diving,7,1593,1800,video_validation_0000169,1763
CliffDiving,4,1947,2001,video_validation_0000169,1980
Diving,7,1947,2001,video_validation_0000169,2010
CliffDiving,4,2025,2070,video_validation_0000169,2029
Diving,7,2025,2070,video_validation_0000169,2073
CliffDiving,4,2097,2124,video_validation_0000169,2135
Diving,7,2097,2124,video_validation_0000169,2144
CliffDiving,4,2163,2217,video_validation_0000169,2158
Diving,7,2163,2217,video_validation_0000169,2193
CliffDiving,4,2235,2268,video_validation_0000169,2255
Diving,7,2235,2268,video_validation_0000169,2254
CliffDiving,4,2271,2307,video_validation_0000169,2260
Diving,7,2271,2307,video_validation_0000169,2307
CliffDiving,4,2358,2400,video_validation_0000169,2327
Diving,7,2358,2400,video_validation_0000169,2402
CliffDiving,4,2409,2445,video_validation_0000169,2411
Diving,7,2409,2445,video_validation_0000169,2430
CliffDiving,4,2481,2583,video_validation_0000169,2575
Diving,7,2481,2583,video_validation_0000169,2585
CliffDiving,4,2598,2640,video_validation_0000169,2590
Diving,7,2598,2640,video_validation_0000169,2616
CliffDiving,4,2664,2706,video_validation_0000169,2733
Diving,7,2664,2706,video_validation_0000169,2643
CliffDiving,4,2805,2871,video_validation_0000169,2795
Diving,7,2805,2871,video_validation_0000169,2782
CliffDiving,4,2883,2916,video_validation_0000169,2865
Diving,7,2883,2916,video_validation_0000169,2872
CliffDiving,4,3141,3174,video_validation_0000169,3128
Diving,7,3141,3174,video_validation_0000169,3139
CliffDiving,4,3177,3228,video_validation_0000169,3209
Diving,7,3177,3228,video_validation_0000169,3245
CliffDiving,4,3258,3315,video_validation_0000169,3277
Diving,7,3258,3315,video_validation_0000169,3326
CliffDiving,4,3408,3459,video_validation_0000169,3443
Diving,7,3408,3459,video_validation_0000169,3460
CliffDiving,4,3462,3519,video_validation_0000169,3479
Diving,7,3462,3519,video_validation_0000169,3489
CliffDiving,4,3579,3642,video_validation_0000169,3615
Diving,7,3579,3642,video_validation_0000169,3601
CliffDiving,4,3642,3678,video_validation_0000169,3639
Diving,7,3642,3678,video_validation_0000169,3653
CliffDiving,4,3681,3729,video_validation_0000169,3692
Diving,7,3681,3729,video_validation_0000169,3695
CliffDiving,4,3732,3783,video_validation_0000169,3723
Diving,7,3732,3783,video_validation_0000169,3727
CliffDiving,4,3783,3807,video_validation_0000169,3765
Diving,7,3783,3807,video_validation_0000169,3816
CliffDiving,4,3819,3855,video_validation_0000169,3840
Diving,7,3819,3855,video_validation_0000169,3844
CliffDiving,4,3858,3894,video_validation_0000169,3881
Diving,7,3858,3894,video_validation_0000169,3863
CliffDiving,4,3897,3939,video_validation_0000169,3901
Diving,7,3897,3939,video_validation_0000169,3912
CliffDiving,4,4038,4095,video_validation_0000169,4031
Diving,7,4038,4095,video_validation_0000169,4044
CliffDiving,4,4308,4323,video_validation_0000169,4325
Diving,7,4308,4323,video_validation_0000169,4335
CliffDiving,4,4539,4584,video_validation_0000169,4519
Diving,7,4539,4584,video_validation_0000169,4531
CliffDiving,4,4680,4731,video_validation_0000169,4721
Diving,7,4680,4731,video_validation_0000169,4728
CliffDiving,4,4758,4779,video_validation_0000169,4776
Diving,7,4758,4779,video_validation_0000169,4732
CliffDiving,4,4785,4809,video_validation_0000169,4783
Diving,7,4785,4809,video_validation_0000169,4800
CliffDiving,4,4821,4827,video_validation_0000169,4824
Diving,7,4821,4827,video_validation_0000169,4839
CliffDiving,4,4905,4962,video_validation_0000169,4875
Diving,7,4905,4962,video_validation_0000169,4977
CliffDiving,4,5118,5169,video_validation_0000169,5103
Diving,7,5118,5169,video_validation_0000169,5163
CliffDiving,4,5184,5241,video_validation_0000169,5175
Diving,7,5184,5241,video_validation_0000169,5240
CliffDiving,4,5274,5316,video_validation_0000169,5270
Diving,7,5274,5316,video_validation_0000169,5284
CliffDiving,4,669,762,video_validation_0000170,649
Diving,7,669,762,video_validation_0000170,727
CliffDiving,4,2826,2973,video_validation_0000170,2845
Diving,7,2826,2973,video_validation_0000170,2862
CliffDiving,4,3711,3828,video_validation_0000170,3723
Diving,7,3711,3828,video_validation_0000170,3760
CliffDiving,4,4818,5064,video_validation_0000170,4821
Diving,7,4818,5064,video_validation_0000170,4998
CliffDiving,4,5601,5712,video_validation_0000170,5659
Diving,7,5601,5712,video_validation_0000170,5724
CliffDiving,4,5982,6135,video_validation_0000170,5996
Diving,7,5982,6135,video_validation_0000170,6002
CricketBowling,5,78,108,video_validation_0000171,68
CricketShot,6,102,132,video_validation_0000171,99
CricketBowling,5,2463,2517,video_validation_0000171,2442
CricketShot,6,2508,2565,video_validation_0000171,2540
CricketBowling,5,2715,2748,video_validation_0000171,2713
CricketShot,6,2751,2784,video_validation_0000171,2756
CricketBowling,5,2988,3039,video_validation_0000171,3025
CricketShot,6,3063,3087,video_validation_0000171,3084
CricketBowling,5,3282,3336,video_validation_0000171,3297
CricketShot,6,3342,3426,video_validation_0000171,3353
CricketBowling,5,420,492,video_validation_0000172,481
CricketBowling,5,972,1023,video_validation_0000172,941
CricketBowling,5,1482,1554,video_validation_0000172,1468
CricketBowling,5,1977,2067,video_validation_0000172,2026
CricketBowling,5,2451,2520,video_validation_0000172,2496
CricketBowling,5,2919,2991,video_validation_0000172,2976
CricketBowling,5,168,249,video_validation_0000173,191
CricketBowling,5,426,447,video_validation_0000173,405
CricketShot,6,444,492,video_validation_0000173,452
CricketBowling,5,612,648,video_validation_0000173,599
CricketShot,6,639,660,video_validation_0000173,675
CricketBowling,5,825,855,video_validation_0000173,831
CricketShot,6,849,870,video_validation_0000173,878
CricketBowling,5,930,960,video_validation_0000173,929
CricketShot,6,951,984,video_validation_0000173,972
CricketBowling,5,1287,1320,video_validation_0000173,1312
CricketShot,6,1320,1344,video_validation_0000173,1347
CricketBowling,5,1854,1884,video_validation_0000173,1860
CricketShot,6,1884,1920,video_validation_0000173,1901
CricketBowling,5,1992,2055,video_validation_0000173,2009
CricketBowling,5,2217,2250,video_validation_0000173,2215
CricketShot,6,2247,2268,video_validation_0000173,2248
CricketBowling,5,2400,2580,video_validation_0000173,2369
CricketBowling,5,2724,2769,video_validation_0000173,2726
CricketShot,6,2748,2769,video_validation_0000173,2775
CricketBowling,5,2958,3000,video_validation_0000173,2944
CricketBowling,5,3114,3153,video_validation_0000173,3157
CricketBowling,5,3351,3390,video_validation_0000173,3408
CricketBowling,5,3579,3609,video_validation_0000173,3558
CricketShot,6,3591,3624,video_validation_0000173,3634
CricketShot,6,4254,4371,video_validation_0000173,4390
CricketBowling,5,4383,4404,video_validation_0000173,4425
CricketBowling,5,4599,4650,video_validation_0000173,4638
CricketShot,6,4620,4662,video_validation_0000173,4669
CricketBowling,5,4863,4902,video_validation_0000173,4900
CricketShot,6,4881,4920,video_validation_0000173,4932
CricketBowling,5,5049,5100,video_validation_0000173,5067
CricketShot,6,5061,5133,video_validation_0000173,5089
CricketBowling,5,5235,5259,video_validation_0000173,5209
CricketShot,6,5244,5265,video_validation_0000173,5255
CricketBowling,5,5358,5394,video_validation_0000173,5346
CricketBowling,5,5493,5538,video_validation_0000173,5483
CricketShot,6,5547,5631,video_validation_0000173,5556
CricketShot,6,5739,5787,video_validation_0000173,5758
CricketBowling,5,6123,6237,video_validation_0000173,6118
CricketBowling,5,225,273,video_validation_0000174,268
CricketBowling,5,771,846,video_validation_0000174,830
CricketBowling,5,1269,1371,video_validation_0000174,1258
CricketBowling,5,1734,1815,video_validation_0000174,1742
CricketBowling,5,3561,3645,video_validation_0000174,3663
CricketBowling,5,4056,4119,video_validation_0000174,4110
CricketBowling,5,2022,2244,video_validation_0000175,2248
CricketBowling,5,9,33,video_validation_0000176,6
CricketShot,6,33,81,video_validation_0000176,15
CricketBowling,5,120,141,video_validation_0000176,123
CricketShot,6,141,174,video_validation_0000176,167
CricketBowling,5,201,225,video_validation_0000176,219
CricketShot,6,225,267,video_validation_0000176,222
CricketBowling,5,303,333,video_validation_0000176,291
CricketShot,6,336,357,video_validation_0000176,349
CricketBowling,5,387,414,video_validation_0000176,440
CricketShot,6,414,441,video_validation_0000176,447
CricketBowling,5,492,510,video_validation_0000176,533
CricketShot,6,510,546,video_validation_0000176,557
CricketBowling,5,591,612,video_validation_0000176,573
CricketShot,6,612,636,video_validation_0000176,599
CricketBowling,5,663,699,video_validation_0000176,689
CricketShot,6,687,711,video_validation_0000176,720
CricketBowling,5,741,771,video_validation_0000176,752
CricketShot,6,762,795,video_validation_0000176,783
CricketBowling,5,864,894,video_validation_0000176,898
CricketShot,6,891,927,video_validation_0000176,911
CricketBowling,5,975,1005,video_validation_0000176,998
CricketShot,6,999,1032,video_validation_0000176,1017
CricketBowling,5,1062,1098,video_validation_0000176,1106
CricketShot,6,1095,1125,video_validation_0000176,1119
CricketBowling,5,1182,1212,video_validation_0000176,1197
CricketShot,6,1206,1239,video_validation_0000176,1246
CricketBowling,5,1266,1302,video_validation_0000176,1294
CricketShot,6,1296,1326,video_validation_0000176,1301
CricketBowling,5,1338,1371,video_validation_0000176,1362
CricketShot,6,1365,1398,video_validation_0000176,1389
CricketBowling,5,1407,1425,video_validation_0000176,1406
CricketShot,6,1416,1452,video_validation_0000176,1461
CricketBowling,5,1497,1530,video_validation_0000176,1514
CricketShot,6,1521,1557,video_validation_0000176,1564
CricketBowling,5,1581,1602,video_validation_0000176,1587
CricketShot,6,1596,1614,video_validation_0000176,1625
CricketBowling,5,1650,1689,video_validation_0000176,1695
CricketShot,6,1686,1707,video_validation_0000176,1698
CricketBowling,5,1722,1761,video_validation_0000176,1721
CricketShot,6,1743,1788,video_validation_0000176,1765
CricketBowling,5,1851,1890,video_validation_0000176,1838
CricketShot,6,1881,1920,video_validation_0000176,1911
CricketBowling,5,1947,1959,video_validation_0000176,1918
CricketShot,6,1947,1980,video_validation_0000176,2005
CricketBowling,5,2064,2079,video_validation_0000176,2061
CricketShot,6,2073,2100,video_validation_0000176,2063
CricketBowling,5,2157,2187,video_validation_0000176,2182
CricketShot,6,2172,2214,video_validation_0000176,2200
CricketBowling,5,2253,2283,video_validation_0000176,2269
CricketShot,6,2277,2307,video_validation_0000176,2314
CricketBowling,5,2343,2370,video_validation_0000176,2341
CricketShot,6,2361,2409,video_validation_0000176,2356
CricketBowling,5,2478,2508,video_validation_0000176,2468
CricketShot,6,2496,2547,video_validation_0000176,2506
CricketBowling,5,2625,2652,video_validation_0000176,2654
CricketShot,6,2640,2679,video_validation_0000176,2674
CricketBowling,5,2706,2721,video_validation_0000176,2724
CricketShot,6,2709,2745,video_validation_0000176,2755
CricketBowling,5,2778,2823,video_validation_0000176,2771
CricketShot,6,2805,2835,video_validation_0000176,2810
CricketBowling,5,2856,2883,video_validation_0000176,2864
CricketShot,6,2868,2919,video_validation_0000176,2904
CricketBowling,5,2964,3000,video_validation_0000176,2949
CricketShot,6,2979,3021,video_validation_0000176,2956
CricketBowling,5,3063,3099,video_validation_0000176,3102
CricketShot,6,3075,3144,video_validation_0000176,3140
CricketBowling,5,3192,3210,video_validation_0000176,3201
CricketShot,6,3204,3231,video_validation_0000176,3234
CricketBowling,5,3309,3345,video_validation_0000176,3342
CricketShot,6,3333,3366,video_validation_0000176,3344
CricketBowling,5,3375,3396,video_validation_0000176,3359
CricketShot,6,3390,3423,video_validation_0000176,3436
CricketBowling,5,3507,3549,video_validation_0000176,3544
CricketShot,6,3528,3573,video_validation_0000176,3576
CricketBowling,5,3612,3639,video_validation_0000176,3648
CricketShot,6,3627,3678,video_validation_0000176,3664
CricketBowling,5,3705,3726,video_validation_0000176,3734
