class,class_index,point,start_frame,stop_frame,video_id
"['salt', 'take']","['38', '0']",22516,22512,22546,P01_01
"['salt', 'open']","['38', '3']",22554,22549,22595,P01_01
"['salt', 'put']","['38', '1']",22618,22583,22620,P01_01
"['drawer', 'open']","['8', '3']",22632,22593,22635,P01_01
"['spoon', 'take']","['1', '0']",22678,22649,22701,P01_01
"['salt', 'pour']","['38', '9']",22739,22734,22848,P01_01
"['salt', 'pour']","['38', '9']",22879,22865,22910,P01_01
"['water', 'mix']","['27', '10']",22927,22882,22931,P01_01
"['salt', 'close']","['38', '4']",22972,22947,22973,P01_01
"['spoon', 'put']","['1', '1']",22989,22983,23003,P01_01
"['drawer', 'open']","['8', '3']",1579,1550,1590,P01_01
"['salt', 'put']","['38', '1']",23057,23025,23082,P01_01
"['spatula', 'take']","['20', '0']",23091,23086,23108,P01_01
"['vegetable', 'mix']","['94', '10']",23132,23108,23140,P01_01
"['hob', 'adjust']","['24', '17']",23174,23142,23180,P01_01
"['vegetable', 'mix']","['94', '10']",24024,23242,24248,P01_01
"['vegetable', 'mix']","['94', '10']",23401,23270,23449,P01_01
"['vegetable', 'mix']","['94', '10']",24464,23680,24590,P01_01
"['spatula', 'put']","['20', '1']",24592,24586,24626,P01_01
"['cupboard', 'open']","['3', '3']",24662,24637,24672,P01_01
"['cupboard', 'take']","['3', '0']",24718,24672,24755,P01_01
"['knife', 'take']","['4', '0']",1675,1605,1680,P01_01
"['knife', 'put']","['4', '1']",24751,24728,24773,P01_01
"['rice', 'take']","['55', '0']",24850,24807,24858,P01_01
"['rice', 'open']","['55', '3']",25044,24877,25059,P01_01
"['rice', 'put']","['55', '1']",25212,25174,25213,P01_01
"['spatula', 'take']","['20', '0']",25246,25221,25249,P01_01
"['vegetable', 'mix']","['94', '10']",25280,25252,25418,P01_01
"['vegetable', 'mix']","['94', '10']",25634,25421,25923,P01_01
"['spatula', 'put']","['20', '1']",25935,25928,25959,P01_01
"['tofu', 'take']","['81', '0']",25995,25980,26018,P01_01
"['knife', 'take']","['4', '0']",26126,26088,26131,P01_01
"['knife', 'take']","['4', '0']",1625,1607,1631,P01_01
"['tofu', 'cut']","['81', '7']",26238,26126,26253,P01_01
"['container', 'open']","['21', '3']",26294,26264,26552,P01_01
"['tofu', 'pour']","['81', '9']",26606,26578,26675,P01_01
"['container', 'put']","['21', '1']",26693,26686,26728,P01_01
"['vegetable', 'mix']","['94', '10']",26801,26726,27128,P01_01
"['spatula', 'put']","['20', '1']",27132,27125,27155,P01_01
"['container', 'take']","['21', '0']",27243,27158,27246,P01_01
"['bin', 'throw']","['36', '13']",27294,27280,27344,P01_01
"['bin', 'throw']","['36', '13']",27387,27343,27408,P01_01
"['box', 'throw']","['23', '13']",27536,27528,27553,P01_01
"['cupboard', 'close']","['3', '4']",237,209,285,P01_01
"['knife', 'put']","['4', '1']",1661,1642,1672,P01_01
"['spatula', 'take']","['20', '0']",27653,27649,27672,P01_01
"['vegetable', 'mix']","['94', '10']",27730,27650,27861,P01_01
"['rice', 'take']","['55', '0']",27885,27859,27899,P01_01
"['rice', 'pour']","['55', '9']",28048,27953,28128,P01_01
"['rice', 'pour']","['55', '9']",28220,28154,28289,P01_01
"['bag', 'fold']","['19', '28']",28475,28364,28548,P01_01
"['bag', 'close']","['19', '4']",28590,28551,28591,P01_01
"['cupboard', 'open']","['3', '3']",28633,28619,28650,P01_01
"['rice', 'insert']","['55', '5']",28674,28652,28706,P01_01
"['vegetable', 'mix']","['94', '10']",28968,28778,29088,P01_01
"['drawer', 'close']","['8', '4']",1690,1683,1698,P01_01
"['spatula', 'take']","['20', '0']",28800,28785,28815,P01_01
"['bottle', 'take']","['15', '0']",29132,29113,29135,P01_01
"['top', 'open']","['42', '3']",29148,29138,29159,P01_01
"['water', 'pour']","['27', '9']",29302,29202,29544,P01_01
"['top', 'close']","['42', '4']",29515,29509,29570,P01_01
"['bottle', 'put']","['15', '1']",29594,29593,29645,P01_01
"['cutlery', 'take']","['58', '0']",29776,29688,29808,P01_01
"['cupboard', 'open']","['3', '3']",29905,29836,29912,P01_01
"['cutlery', 'insert']","['58', '5']",30178,29915,30238,P01_01
"['drawer', 'close']","['8', '4']",30242,30230,30284,P01_01
"['knife', 'put']","['4', '1']",1753,1724,1761,P01_01
"['spatula', 'take']","['20', '0']",30301,30298,30327,P01_01
"['vegetable', 'mix']","['94', '10']",30524,30327,30541,P01_01
"['hob', 'adjust']","['24', '17']",30582,30546,30606,P01_01
"['vegetable', 'mix']","['94', '10']",30678,30617,30752,P01_01
"['rice', 'mix']","['55', '10']",30765,30762,30982,P01_01
"['spatula', 'put']","['20', '1']",31028,31008,31037,P01_01
"['spoon', 'take']","['1', '0']",31112,31051,31129,P01_01
"['glass', 'take']","['10', '0']",31199,31109,31243,P01_01
"['glass', 'put']","['10', '1']",31257,31207,31460,P01_01
"['glass', 'put']","['10', '1']",31266,31246,31381,P01_01
"['tap', 'turn-on']","['0', '6']",1820,1772,1869,P01_01
"['drawer', 'open']","['8', '3']",31418,31389,31452,P01_01
"['spatula', 'take']","['20', '0']",31575,31550,31583,P01_01
"['vegetable', 'mix']","['94', '10']",31859,31556,32023,P01_01
"['spatula', 'put']","['20', '1']",32007,31996,32028,P01_01
"['container', 'take']","['21', '0']",32239,32225,32288,P01_01
"['container', 'open']","['21', '3']",32263,32261,32301,P01_01
"['container', 'remove']","['21', '12']",32314,32313,32365,P01_01
"['container', 'close']","['21', '4']",32503,32371,32507,P01_01
"['container', 'put']","['21', '1']",32533,32510,32537,P01_01
"['spatula', 'take']","['20', '0']",32637,32593,32639,P01_01
"['courgette', 'wash']","['76', '2']",1927,1856,1957,P01_01
"['rice', 'mix']","['55', '10']",32738,32624,32770,P01_01
"['vegetable', 'mix']","['94', '10']",32950,32828,33102,P01_01
"['vegetable', 'mix']","['94', '10']",33622,32971,33938,P01_01
"['spatula', 'put']","['20', '1']",33973,33958,34013,P01_01
"['vegetable', 'mix']","['94', '10']",34978,34893,35159,P01_01
"['rice', 'mix']","['55', '10']",35324,35165,35352,P01_01
"['spatula', 'put']","['20', '1']",35398,35357,35416,P01_01
"['rice', 'wait']","['55', '72']",36113,35493,36359,P01_01
"['spatula', 'take']","['20', '0']",36439,36425,36462,P01_01
"['spatula', 'put']","['20', '1']",36551,36456,36775,P01_01
"['courgette', 'wash']","['76', '2']",2009,1956,2194,P01_01
"['vegetable', 'mix']","['94', '10']",36737,36460,36772,P01_01
"['spoon', 'take']","['1', '0']",36784,36768,36798,P01_01
"['rice', 'scoop']","['55', '16']",36913,36832,36920,P01_01
"['rice', 'eat']","['55', '35']",36950,36947,37081,P01_01
"['spoon', 'put']","['1', '1']",37166,37084,37168,P01_01
"['cupboard', 'open']","['3', '3']",37461,37437,37493,P01_01
"['rack:drying', 'take']","['110', '0']",37537,37532,37590,P01_01
"['glass', 'take']","['10', '0']",37947,37920,37961,P01_01
"['water', 'pour']","['27', '9']",37966,37950,38111,P01_01
"['water', 'drink']","['27', '60']",38285,38128,38300,P01_01
"['carrot', 'wash']","['41', '2']",2353,2229,2367,P01_01
"['bottle', 'put']","['15', '1']",38218,38177,38219,P01_01
"['glass', 'put']","['10', '1']",38301,38284,38328,P01_01
"['spatula', 'take']","['20', '0']",38444,38422,38446,P01_01
"['vegetable', 'mix']","['94', '10']",38668,38452,38781,P01_01
"['vegetable', 'mix']","['94', '10']",38845,38687,38888,P01_01
"['spatula', 'put']","['20', '1']",38893,38879,38909,P01_01
"['spatula', 'take']","['20', '0']",39137,39135,39164,P01_01
"['rice', 'mix']","['55', '10']",39356,39188,39365,P01_01
"['spatula', 'put']","['20', '1']",39406,39344,39421,P01_01
"['rice', 'wait']","['55', '72']",39519,39476,39568,P01_01
"['carrot', 'wash']","['41', '2']",2446,2370,2484,P01_01
"['rice', 'wait']","['55', '72']",40255,40211,40605,P01_01
"['spoon', 'take']","['1', '0']",40644,40610,40664,P01_01
"['rice', 'scoop']","['55', '16']",40673,40658,40794,P01_01
"['rice', 'eat']","['55', '35']",40939,40793,40962,P01_01
"['spoon', 'put']","['1', '1']",41016,40980,41088,P01_01
"['hob', 'turn-off']","['24', '8']",41152,41092,41214,P01_01
"['pan', 'take']","['5', '0']",41818,41784,41854,P01_01
"['pan', 'filter']","['5', '37']",41938,41897,42039,P01_01
"['rice', 'filter']","['55', '37']",42251,42059,42264,P01_01
"['rice', 'pour']","['55', '9']",42339,42290,42393,P01_01
"['tap', 'turn-off']","['0', '8']",2480,2466,2496,P01_01
"['rack:drying', 'put']","['110', '1']",42409,42390,42420,P01_01
"['rice', 'scoop']","['55', '16']",42537,42441,42727,P01_01
"['pan', 'put']","['5', '1']",42777,42726,42779,P01_01
"['rack:drying', 'put']","['110', '1']",42812,42784,42834,P01_01
"['spatula', 'put']","['20', '1']",42854,42851,42876,P01_01
"['spatula', 'take']","['20', '0']",42888,42885,42907,P01_01
"['rice', 'mix']","['55', '10']",43007,42922,43090,P01_01
"['spatula', 'put']","['20', '1']",43108,43091,43111,P01_01
"['powder', 'pour']","['138', '9']",43277,43109,43309,P01_01
"['powder', 'take']","['138', '0']",43114,43114,43135,P01_01
"['vegetable', 'put']","['94', '1']",2589,2565,2595,P01_01
"['powder', 'open']","['138', '3']",43149,43147,43175,P01_01
"['powder', 'put']","['138', '1']",43310,43289,43322,P01_01
"['spatula', 'take']","['20', '0']",43343,43316,43348,P01_01
"['rice', 'mix']","['55', '10']",43481,43346,43710,P01_01
"['rice', 'mix']","['55', '10']",43795,43660,43878,P01_01
"['rice', 'mix']","['55', '10']",44075,43881,44098,P01_01
"['rice', 'mix']","['55', '10']",44608,44101,45158,P01_01
"['hob', 'turn-off']","['24', '8']",45219,45136,45223,P01_01
"['rice', 'mix']","['55', '10']",45430,45242,45542,P01_01
"['rice', 'mix']","['55', '10']",45785,45545,45786,P01_01
"['fridge', 'open']","['12', '3']",413,383,420,P01_01
"['cupboard', 'open']","['3', '3']",2632,2623,2649,P01_01
"['rice', 'mix']","['55', '10']",46001,45720,46455,P01_01
"['spatula', 'put']","['20', '1']",46476,46463,46496,P01_01
"['powder', 'close']","['138', '4']",46620,46503,46624,P01_01
"['powder', 'put']","['138', '1']",46640,46633,46656,P01_01
"['container', 'take']","['21', '0']",46685,46666,46704,P01_01
"['spatula', 'take']","['20', '0']",46711,46705,46760,P01_01
"['rice', 'pour']","['55', '9']",46827,46729,46889,P01_01
"['rice', 'pour']","['55', '9']",47041,46825,47213,P01_01
"['rice', 'scoop']","['55', '16']",46891,46876,46928,P01_01
"['rice', 'pour']","['55', '9']",46972,46931,46984,P01_01
"['grater', 'take']","['96', '0']",2797,2776,2823,P01_01
"['rice', 'scoop']","['55', '16']",47021,46994,47054,P01_01
"['container', 'put']","['21', '1']",47231,47217,47240,P01_01
"['spatula', 'put']","['20', '1']",47238,47226,47259,P01_01
"['plate', 'take']","['2', '0']",47303,47261,47319,P01_01
"['plate', 'put']","['2', '1']",47336,47333,47375,P01_01
"['spatula', 'take']","['20', '0']",47404,47377,47405,P01_01
"['rice', 'pour']","['55', '9']",47539,47403,47777,P01_01
"['rice', 'scoop']","['55', '16']",47936,47816,47996,P01_01
"['rice', 'scoop']","['55', '16']",48039,48020,48181,P01_01
"['rice', 'pour']","['55', '9']",48404,48183,48544,P01_01
"['pan', 'take']","['5', '0']",2882,2858,2987,P01_01
"['rice', 'scoop']","['55', '16']",48402,48187,48562,P01_01
"['spatula', 'put']","['20', '1']",48586,48545,48615,P01_01
"['pan', 'put']","['5', '1']",48641,48630,48694,P01_01
"['tap', 'turn-on']","['0', '6']",48807,48758,48809,P01_01
"['pan', 'wash']","['5', '2']",48836,48812,48891,P01_01
"['pan', 'wash']","['5', '2']",48921,48904,49007,P01_01
"['rack:drying', 'wash']","['110', '2']",49038,49011,49056,P01_01
"['tap', 'turn-off']","['0', '8']",49057,49049,49084,P01_01
"['plate', 'take']","['2', '0']",49191,49129,49192,P01_01
"['plate', 'put']","['2', '1']",49212,49212,49251,P01_01
"['pan', 'put']","['5', '1']",3056,3022,3068,P01_01
"['cupboard', 'close']","['3', '4']",3063,3050,3072,P01_01
"['cupboard', 'close']","['3', '4']",3101,3091,3113,P01_01
"['courgette', 'take']","['76', '0']",3127,3123,3157,P01_01
"['courgette', 'cut']","['76', '7']",3294,3171,3661,P01_01
"['hob', 'turn-on']","['24', '6']",3783,3664,3809,P01_01
"['courgette', 'cut']","['76', '7']",3941,3834,4347,P01_01
"['celery', 'take']","['223', '0']",459,458,492,P01_01
"['courgette', 'cut']","['76', '7']",4108,3930,4374,P01_01
"['courgette', 'cut']","['76', '7']",4951,4516,4970,P01_01
"['courgette', 'cut']","['76', '7']",5383,4973,5408,P01_01
"['courgette', 'cut']","['76', '7']",5803,5411,5817,P01_01
"['courgette', 'cut']","['76', '7']",7425,7171,7464,P01_01
"['courgette', 'pour']","['76', '9']",7667,7502,7736,P01_01
"['courgette', 'throw']","['76', '13']",7885,7851,7939,P01_01
"['drawer', 'open']","['8', '3']",7992,7952,7993,P01_01
"['drawer', 'close']","['8', '4']",8073,8057,8077,P01_01
"['spatula', 'take']","['20', '0']",8135,8113,8165,P01_01
"['container', 'take']","['21', '0']",504,495,542,P01_01
"['courgette', 'mix']","['76', '10']",8301,8162,8336,P01_01
"['salt', 'take']","['38', '0']",8388,8388,8441,P01_01
"['salt', 'open']","['38', '3']",8480,8444,8488,P01_01
"['salt', 'pour']","['38', '9']",8518,8484,8552,P01_01
"['salt', 'put']","['38', '1']",8568,8555,8604,P01_01
"['courgette', 'mix']","['76', '10']",8649,8636,8828,P01_01
"['spatula', 'put']","['20', '1']",8851,8831,8868,P01_01
"['celery', 'take']","['223', '0']",8938,8871,8991,P01_01
"['celery', 'wash']","['223', '2']",9085,9038,9465,P01_01
"['tap', 'turn-on']","['0', '6']",9052,9039,9104,P01_01
"['tofu', 'take']","['81', '0']",566,546,634,P01_01
"['celery', 'wash']","['223', '2']",9441,9107,9465,P01_01
"['tap', 'turn-off']","['0', '8']",9451,9451,9478,P01_01
"['celery', 'put']","['223', '1']",9582,9548,9600,P01_01
"['celery', 'cut']","['223', '7']",9760,9683,9845,P01_01
"['celery', 'cut']","['223', '7']",9992,9848,10142,P01_01
"['celery', 'pour']","['223', '9']",10270,10249,10386,P01_01
"['board:chopping', 'put']","['18', '1']",10426,10380,10430,P01_01
"['celery', 'take']","['223', '0']",10600,10420,10614,P01_01
"['bin', 'throw']","['36', '13']",10709,10623,10753,P01_01
"['fridge', 'open']","['12', '3']",10832,10806,10855,P01_01
"['fridge', 'close']","['12', '4']",679,657,700,P01_01
"['celery', 'insert']","['223', '5']",10845,10823,10892,P01_01
"['fridge', 'close']","['12', '4']",10894,10892,10925,P01_01
"['spatula', 'take']","['20', '0']",11033,11020,11050,P01_01
"['spatula', 'mix']","['20', '10']",11114,11051,11341,P01_01
"['spatula', 'put']","['20', '1']",11360,11335,11379,P01_01
"['container', 'open']","['21', '3']",11428,11378,11436,P01_01
"['onion', 'take']","['16', '0']",11508,11446,11546,P01_01
"['onion', 'take']","['16', '0']",11533,11520,11543,P01_01
"['onion', 'put']","['16', '1']",11555,11546,11567,P01_01
"['container', 'close']","['21', '4']",11606,11564,11651,P01_01
"['fridge', 'open']","['12', '3']",696,695,729,P01_01
"['spatula', 'take']","['20', '0']",11720,11716,11738,P01_01
"['knife', 'take']","['4', '0']",11756,11729,11764,P01_01
"['onion', 'cut']","['16', '7']",11868,11778,11963,P01_01
"['onion', 'cut']","['16', '7']",12137,11862,12211,P01_01
"['onion', 'cut']","['16', '7']",12593,12252,12665,P01_01
"['knife', 'put']","['4', '1']",12787,12741,12793,P01_01
"['kettle', 'take']","['44', '0']",12825,12809,12881,P01_01
"['tap', 'turn-on']","['0', '6']",12962,12892,13014,P01_01
"['water', 'pour']","['27', '9']",13119,12897,13133,P01_01
"['water', 'pour']","['27', '9']",13185,13110,13295,P01_01
"['carrot', 'take']","['41', '0']",820,734,838,P01_01
"['tap', 'turn-off']","['0', '8']",13249,13245,13268,P01_01
"['kettle', 'turn-on']","['44', '6']",13401,13353,13414,P01_01
"['spatula', 'take']","['20', '0']",13523,13502,13524,P01_01
"['vegetable', 'mix']","['94', '10']",13634,13517,13749,P01_01
"['vegetable', 'mix']","['94', '10']",13790,13667,13942,P01_01
"['glass', 'take']","['10', '0']",14029,14025,14057,P01_01
"['glass', 'take']","['10', '0']",14096,14074,14110,P01_01
"['cupboard', 'open']","['3', '3']",14171,14144,14181,P01_01
"['glass', 'insert']","['10', '5']",14237,14225,14317,P01_01
"['cupboard', 'close']","['3', '4']",14308,14302,14380,P01_01
"['plate', 'take']","['2', '0']",178,152,205,P01_02
"['bin', 'open']","['36', '3']",277,258,278,P01_02
"['liquid:washing', 'pour']","['22', '9']",967,906,974,P01_02
"['cloth', 'take']","['17', '0']",10009,9999,10022,P01_02
"['sponge', 'squeeze']","['9', '18']",10122,10025,10283,P01_02
"['cloth', 'wash']","['17', '2']",10400,10286,10413,P01_02
"['cloth', 'squeeze']","['17', '18']",10468,10416,10476,P01_02
"['sink', 'wash']","['63', '2']",10516,10464,10569,P01_02
"['sink', 'wash']","['63', '2']",10565,10471,10770,P01_02
"['cloth', 'squeeze']","['17', '18']",10641,10572,10647,P01_02
"['top', 'wash']","['42', '2']",10920,10791,10966,P01_02
"['top', 'wash']","['42', '2']",10950,10946,11024,P01_02
"['top', 'wash']","['42', '2']",11301,11027,11302,P01_02
"['sponge', 'squeeze']","['9', '18']",975,974,1066,P01_02
"['bin', 'open']","['36', '3']",11357,11331,11369,P01_02
"['food', 'throw']","['34', '13']",11381,11370,11392,P01_02
"['bin', 'close']","['36', '4']",11457,11394,11459,P01_02
"['oven', 'wash']","['46', '2']",11596,11501,11613,P01_02
"['oven', 'wash']","['46', '2']",11707,11613,11801,P01_02
"['oven', 'wash']","['46', '2']",12172,11804,12224,P01_02
"['oven', 'wash']","['46', '2']",12218,12128,12225,P01_02
"['top', 'wash']","['42', '2']",12362,12228,12392,P01_02
"['top', 'wash']","['42', '2']",12461,12395,12474,P01_02
"['sink', 'wash']","['63', '2']",12468,12405,12537,P01_02
"['fork', 'take']","['14', '0']",1043,1039,1071,P01_02
"['tap', 'turn-on']","['0', '6']",12541,12530,12586,P01_02
"['cloth', 'wash']","['17', '2']",12619,12580,12732,P01_02
"['tap', 'turn-off']","['0', '8']",12745,12735,12775,P01_02
"['cloth', 'squeeze']","['17', '18']",12778,12778,12828,P01_02
"['sink', 'wash']","['63', '2']",12909,12832,12921,P01_02
"['sink', 'wash']","['63', '2']",13148,12914,13223,P01_02
"['cloth', 'squeeze']","['17', '18']",13308,13233,13348,P01_02
"['cloth', 'put']","['17', '1']",13355,13344,13379,P01_02
"['cloth', 'take']","['17', '0']",13379,13379,13420,P01_02
"['hand', 'dry']","['11', '14']",13447,13407,13527,P01_02
"['fork', 'wash']","['14', '2']",1092,1065,1237,P01_02
"['cloth', 'put']","['17', '1']",13554,13535,13603,P01_02
"['chair', 'move']","['182', '11']",13617,13613,13658,P01_02
"['mat', 'take']","['84', '0']",13730,13661,13864,P01_02
"['drawer', 'open']","['8', '3']",13921,13914,13974,P01_02
"['mat', 'put']","['84', '1']",13976,13975,14020,P01_02
"['lid', 'take']","['6', '0']",14060,14044,14083,P01_02
"['lid', 'close']","['6', '4']",14069,14054,14130,P01_02
"['container', 'take']","['21', '0']",14255,14193,14266,P01_02
"['fridge', 'open']","['12', '3']",14295,14277,14300,P01_02
"['container', 'insert']","['21', '5']",14312,14310,14433,P01_02
"['knife', 'take']","['4', '0']",1261,1253,1279,P01_02
"['fridge', 'close']","['12', '4']",14501,14464,14504,P01_02
"['bottle', 'take']","['15', '0']",14658,14621,14659,P01_02
"['water', 'pour']","['27', '9']",14733,14670,14793,P01_02
"['bottle', 'put']","['15', '1']",14820,14796,14826,P01_02
"['water', 'drink']","['27', '60']",14877,14814,14978,P01_02
"['bottle', 'close']","['15', '4']",14846,14840,14915,P01_02
"['knife', 'wash']","['4', '2']",1347,1281,1483,P01_02
"['knife', 'put']","['4', '1']",1498,1485,1501,P01_02
"['plate', 'take']","['2', '0']",1514,1510,1534,P01_02
"['plate', 'wash']","['2', '2']",1587,1527,1816,P01_02
"['plate', 'wash']","['2', '2']",1882,1814,1903,P01_02
"['food', 'throw']","['34', '13']",476,304,544,P01_02
"['plate', 'put']","['2', '1']",1902,1895,1924,P01_02
"['spatula', 'take']","['20', '0']",1937,1927,1946,P01_02
"['tap', 'turn-on']","['0', '6']",2021,1998,2029,P01_02
"['spatula', 'wash']","['20', '2']",2048,2021,2081,P01_02
"['spatula', 'wash']","['20', '2']",2233,2080,2320,P01_02
"['spatula', 'wash']","['20', '2']",2285,2285,2437,P01_02
"['spatula', 'put']","['20', '1']",2418,2404,2460,P01_02
"['colander', 'take']","['39', '0']",2475,2463,2488,P01_02
"['colander', 'wash']","['39', '2']",2529,2487,2650,P01_02
"['colander', 'put']","['39', '1']",2643,2642,2692,P01_02
"['bin', 'close']","['36', '4']",572,551,574,P01_02
"['pan', 'take']","['5', '0']",2716,2694,2741,P01_02
"['pan', 'wash']","['5', '2']",2843,2744,2872,P01_02
"['pan', 'wash']","['5', '2']",2904,2871,3036,P01_02
"['pan', 'wash']","['5', '2']",3222,3039,3252,P01_02
"['colander', 'take']","['39', '0']",3301,3275,3339,P01_02
"['pan', 'put']","['5', '1']",3314,3275,3327,P01_02
"['colander', 'put']","['39', '1']",3340,3323,3368,P01_02
"['pan', 'empty']","['5', '20']",3459,3401,3479,P01_02
"['pan', 'wash']","['5', '2']",3675,3501,3718,P01_02
"['pan', 'wash']","['5', '2']",3768,3754,3941,P01_02
"['plate', 'put']","['2', '1']",634,630,677,P01_02
"['pan', 'wash']","['5', '2']",3977,3944,4090,P01_02
"['pan', 'put']","['5', '1']",4120,4090,4138,P01_02
"['board:chopping', 'take']","['18', '0']",4158,4156,4216,P01_02
"['board:chopping', 'wash']","['18', '2']",4289,4226,4399,P01_02
"['board:chopping', 'wash']","['18', '2']",4435,4432,4567,P01_02
"['board:chopping', 'put']","['18', '1']",4600,4570,4607,P01_02
"['grater', 'take']","['96', '0']",4635,4613,4644,P01_02
"['grater', 'wash']","['96', '2']",4700,4641,4712,P01_02
"['grater', 'wash']","['96', '2']",4846,4670,4908,P01_02
"['sponge', 'put']","['9', '1']",4918,4902,4919,P01_02
"['sponge', 'take']","['9', '0']",735,721,758,P01_02
"['grater', 'put']","['96', '1']",4973,4945,5002,P01_02
"['spoon', 'take']","['1', '0']",5074,5049,5080,P01_02
"['sponge', 'take']","['9', '0']",5134,5125,5144,P01_02
"['spoon', 'wash']","['1', '2']",5153,5146,5206,P01_02
"['sponge', 'put']","['9', '1']",5193,5189,5211,P01_02
"['tap', 'turn-on']","['0', '6']",5256,5212,5265,P01_02
"['hand', 'wash']","['11', '2']",5293,5261,5294,P01_02
"['spoon', 'wash']","['1', '2']",5356,5297,5392,P01_02
"['grater', 'wash']","['96', '2']",5624,5444,5661,P01_02
"['grater', 'wash']","['96', '2']",5783,5664,5972,P01_02
"['sponge', 'squeeze']","['9', '18']",745,736,776,P01_02
"['grater', 'put']","['96', '1']",5994,5987,6015,P01_02
"['colander', 'take']","['39', '0']",6041,6013,6068,P01_02
"['colander', 'wash']","['39', '2']",6180,6073,6320,P01_02
"['colander', 'wash']","['39', '2']",6479,6245,6508,P01_02
